DATE,HOLI
20150626,0
20150627,1
20150628,1
20150629,0
20150630,0
20150701,0
20150702,0
20150703,0
20150704,1
20150705,1
20150706,0
20150707,0
20150708,0
20150709,0
20150710,0
20150711,1
20150712,1
20150713,0
20150714,0
20150715,0
20150716,0
20150717,0
20150718,1
20150719,1
20150720,0
20150721,0
20150722,0
20150723,0
20150724,0
20150725,1
20150726,1
20150727,0
20150728,0
20150729,0
20150730,0
20150731,0
20150801,1
20150802,1
20150803,0
20150804,0
20150805,0
20150806,0
20150807,0
20150808,1
20150809,1
20150810,0
20150811,0
20150812,0
20150813,0
20150814,0
20150815,1
20150816,1
20150817,0
20150818,0
20150819,0
20150820,0
20150821,0
20150822,1
20150823,1
20150824,0
20150825,0
20150826,0
20150827,0
20150828,0
20150829,1
20150830,1
20150831,0
20150901,0
20150902,0
20150903,1
20150904,1
20150905,1
20150906,0
20150907,0
20150908,0
20150909,0
20150910,0
20150911,0
20150912,1
20150913,1
20150914,0
20150915,0
20150916,0
20150917,0
20150918,0
20150919,1
20150920,1
20150921,0
20150922,0
20150923,0
20150924,0
20150925,0
20150926,1
20150927,1
20150928,0
20150929,0
20150930,0
20151001,2
20151002,2
20151003,2
20151004,2
20151005,2
20151006,2
20151007,2
20151008,0
20151009,0
20151010,0
20151011,1
20151012,0
20151013,0
20151014,0
20151015,0
20151016,0
20151017,1
20151018,1
20151019,0
20151020,0
20151021,0
20151022,0
20151023,0
20151024,1
20151025,1
20151026,0
20151027,0
20151028,0
20151029,0
20151030,0
20151031,1
20151101,1
20151102,0
20151103,0
20151104,0
20151105,0
20151106,0
20151107,1
20151108,1
20151109,0
20151110,0
20151111,0
20151112,0
20151113,0
20151114,1
20151115,1
20151116,0
20151117,0
20151118,0
20151119,0
20151120,0
20151121,1
20151122,1
20151123,0
20151124,0
20151125,0
20151126,0
20151127,0
20151128,1
20151129,1
20151130,0
20151201,0
20151202,0
20151203,0
20151204,0
20151205,1
20151206,1
20151207,0
20151208,0
20151209,0
20151210,0
20151211,0
20151212,1
20151213,1
20151214,0
20151215,0
20151216,0
20151217,0
20151218,0
20151219,1
20151220,1
20151221,0
20151222,0
20151223,0
20151224,0
20151225,0
20151226,1
20151227,1
20151228,0
20151229,0
20151230,0
20151231,0
20160101,2
20160102,2
20160103,2
20160104,0
20160105,0
20160106,0
20160107,0
20160108,0
20160109,1
20160110,1
20160111,0
20160112,0
20160113,0
20160114,0
20160115,0
20160116,1
20160117,1
20160118,0
20160119,0
20160120,0
20160121,0
20160122,0
20160123,1
20160124,1
20160125,0
20160126,0
20160127,0
20160128,0
20160129,0
20160130,1
20160131,1
20160201,0
20160202,0
20160203,0
20160204,0
20160205,0
20160206,0
20160207,2
20160208,2
20160209,2
20160210,2
20160211,2
20160212,2
20160213,2
20160214,0
20160215,0
20160216,0
20160217,0
20160218,0
20160219,0
20160220,1
20160221,1
20160222,0
20160223,0
20160224,0
20160225,0
20160226,0
20160227,1
20160228,1
20160229,0
20160301,0
20160302,0
20160303,0
20160304,0
20160305,1
20160306,1
20160307,0
20160308,0
20160309,0
20160310,0
20160311,0
20160312,1
20160313,1
20160314,0
20160315,0
20160316,0
20160317,0
20160318,0
20160319,1
20160320,1
20160321,0
20160322,0
20160323,0
20160324,0
20160325,0
20160326,1
20160327,1
20160328,0
20160329,0
20160330,0
20160331,0
20160401,0
20160402,2
20160403,2
20160404,2
20160405,0
20160406,0
20160407,0
20160408,0
20160409,1
20160410,1
20160411,0
20160412,0
20160413,0
20160414,0
20160415,0
20160416,1
20160417,1
20160418,0
20160419,0
20160420,0
20160421,0
20160422,0
20160423,1
20160424,1
20160425,0
20160426,0
20160427,0
20160428,0
20160429,0
20160430,2
20160501,2
20160502,2
20160503,0
20160504,0
20160505,0
20160506,0
20160507,1
20160508,1
20160509,0
20160510,0
20160511,0
20160512,0
20160513,0
20160514,1
20160515,1
20160516,0
20160517,0
20160518,0
20160519,0
20160520,0
20160521,1
20160522,1
20160523,0
20160524,0
20160525,0
20160526,0
20160527,0
20160528,1
20160529,1
20160530,0
20160531,0
20160601,0
20160602,0
20160603,0
20160604,1
20160605,1
20160606,0
20160607,0
