SHOP_ID,SHOP_PAY,SHOP_SCO,SHOP_COM,SHOP_LEV,SJ00,SJ01,SJ02,SJ03,SJ04,SJ05,SJ06,SJ07,SJ08,SJ09,SJ10,SJ11,SJ12,SJ13,SJ14,SC00,SE00,SF00,SG00,SG01,SG02,SG03,SI00,SI01,SI02,SI03,SI04,SI05,SI06,SI07,SI08,SI09,DOU11
1,8,4.0,12.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121527641694,19,0.104352577206,6.96124031008,22.0465116279,15.0852713178,15.1647783085,0.98824913191,1.00566321353,0.949067448266,0.966481529886,0.953420968671,0.975188570695,1.0809463835,1.08838010122,0.992602652315,0.982683982684,0.993290066719
2,19,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42946880819,19,0.114247658749,8.34346504559,20.9422492401,12.5987841945,15.5093218313,0.874104669163,1.24719812551,0.863444856124,0.845243025493,0.884764482201,0.874104669163,0.97004298651,1.18323924728,1.25785793855,0.700854700855,1.22501897812
3,5,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063027272583,19,0.123095533578,10.1985294118,21.6764705882,11.4779411765,16.3819287197,0.900662251656,1.22516556291,0.834437086093,0.814569536424,0.841059602649,0.900662251656,1.07284768212,1.28476821192,1.12582781457,0.735135135135,1.09025800228
4,18,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.358785843847,19,0.163663886656,8.46666666667,20.9428571429,12.4761904762,16.315445224,0.772320704292,1.42695444412,0.79070929249,0.661989175108,0.853230492361,0.764965269013,0.809097880687,1.46588294742,1.4548497945,0.541237113402,1.15661203861
5,2,2.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334671364281,12,0.132072305512,9.59900990099,20.7277227723,11.1287128713,15.8323408511,1.14044047239,0.654963293967,1.28981806575,1.06000638366,1.20651133099,1.25821895946,0.686562400255,0.942227896585,0.761251196936,1.74122807018,0.896021544933
6,13,3.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138332270356,17,0.15776710029,8.39338235294,20.1691176471,11.7757352941,14.9233572518,0.990974729242,0.974729241877,1.0559566787,0.942238267148,0.942238267148,0.925992779783,1.12093862816,1.08844765343,0.958483754513,1.01666666667,0.976744174957
7,13,3.0,9.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.229983527476,12,0.0993223772147,5.73291925466,22.1387163561,16.4057971014,14.9779394841,0.892589759978,1.24666199819,0.864026887659,0.82118257918,0.864026887659,0.833982182452,1.04968555773,1.17821848317,1.24962566397,0.715983772082,1.30439710617
8,16,3.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131347492777,19,0.143312767674,7.75,21.9891304348,14.2391304348,16.1959371347,0.927389559526,1.01571237472,0.870610606902,0.9436974999,0.902154469471,0.921080787012,1.07249132734,1.17974046008,1.16712291505,0.913043478261,1.0984146595
9,15,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0834985449763,19,0.153694622022,7.35422343324,20.0326975477,12.6784741144,15.6094268712,0.94645719782,1.08496312921,1.00993908304,0.94645719782,0.952228278294,0.906059634498,0.929143956396,1.09650529016,1.12824623277,0.872340425532,1.0708129406
10,10,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0903410064964,20,0.143492586353,8.54471544715,20.325203252,11.7804878049,15.8371161887,1.23825503356,1.34395973154,1.38926174497,1.08724832215,1.05704697987,0.664429530201,0.921140939597,0.573825503356,0.724832214765,0.921348314607,1.02399909496
11,12,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0490234922229,12,0.306168936582,10.9297820823,19.5108958838,8.58111380145,14.67931539,1.12732626313,0.696289750755,1.09416960833,1.04443462613,1.08588044463,1.19848842265,1.21021790012,0.863481560898,0.679711423356,1.61904761905,0.938206195831
12,20,1.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24795441297,19,0.166029778083,11.0076335878,20.5916030534,9.58396946565,16.0918389934,0.855140186916,1.26168224299,0.855140186916,0.658878504673,0.827102803738,1.10046728972,0.932242990654,1.28971962617,1.21962616822,0.677777777778,1.11719024181
13,6,0.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184254478561,12,0.199438672794,6.14634146341,19.7268292683,13.5804878049,12.0805364671,1.06912532193,0.886888051146,1.14809480594,0.953708383767,0.996230413616,1.06912532193,1.06912532193,0.96941093414,0.838291445604,1.20547945205,0.944286227226
